id,title,url,description,type,budget_min,budget_max,currency_code,currency_exchange_rate,commitment_hours,commitment_interval,job_names,job_category_names,job_category_ids,bid_count,bid_avg,local,language,source_file
40505114,WebScrapper for a real estate information -- 2,https://www.freelancer.com/projects/php/WebScrapper-for-real-estate-information,"Description
Develope me an webscrapper that is complaint with the cookies and captchas for the following websites:
- Immoscout24.ch
- Homegate.ch
- Anibis.ch
- pararius.com
- Funda.nl
- SeLoger.com
- qasa.com
- bostad.stockholm.se
- zillow.com
- apartments.com
- Realestate.com.au
- Domain.com.au
- Flatmates.com.au

Technology: Python
Libary to use: from urllib.request import Request, urlopen

For the search request for the page an object like the following should be delievered
[{title: ""Apartment 1"", price: """", link: ""example1.com""}, {title: ""Apartment 1"", price: """", link: ""example1.com""}, {title: ""Apartment 1"", price: """", link: ""example1.com""}, {title: ""Apartment 1"", price: """", link: ""example1.com""}, {title: ""Apartment 1"", price: """", link: ""example1.com""}, {title: ""Apartment 1"", price: """", link: ""example1.com""}]",fixed,30,250.0,EUR,1.15564,,,"PHP, Python, Web Scraping, Django, Scrapy, Data Extraction, API, BeautifulSoup, Selenium","Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Data Entry & Admin, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software","1, 1, 1, 1, 1, 4, 1, 1, 1",105.0,143.03809523809525,False,en,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
40505063,German Sales Appointment Setter,https://www.freelancer.com/projects/sales/German-Sales-Appointment-Setter,"We need some fluent German speaker who can pick up the phone, talk confidently with prospects, and lock in qualified sales meetings for us. All appointments must be confirmed while you are still on the call, with date, time, and any dial-in details captured accurately.

The leads and a brief sales script will be provided; you will handle the rest—calling, qualifying, overcoming basic objections, and making sure the prospect is genuinely interested in a sales conversation. A quick CRM note after each successful booking keeps everything organised.

Because the entire process happens by phone, a clear voice connection and a professional, upbeat manner in German are essential. Familiarity with common CRMs (HubSpot, Pipedrive, Salesforce or similar) is a plus, as it helps you drop notes and change lead status efficiently.

Deliverables that mark the job as complete: 
• A minimum agreed-upon number of qualified sales meetings booked each week 
• Accurate contact and meeting details entered in the CRM or shared spreadsheet 
• Brief weekly summary of calls made, meetings secured, and any obstacles encountered 

If you have a track record of turning cold or lukewarm leads into confirmed sales meetings in German, let’s get started.",fixed,1500,3000.0,EUR,1.15564,,,"Data Entry, Telemarketing, Sales, CRM, Salesforce.com, German Translator, Customer Service, Sales Promotion, Sales Management, Lead Generation","Data Entry & Admin, Sales & Marketing, Sales & Marketing, Sales & Marketing, Business, Accounting, Human Resources & Legal, Translation & Languages, Data Entry & Admin, Sales & Marketing, Sales & Marketing, Sales & Marketing","4, 6, 6, 6, 7, 10, 4, 6, 6, 6",4.0,2012.5,,en,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
40504861,SolidWorks Winkelanpassung mit STEP-Ausgabe,https://www.freelancer.com/projects/3d-cad/SolidWorks-Winkelanpassung-mit-STEP,"Ich habe mehrere existierende SolidWorks-Modelle, die in ihrer Winkelgeometrie präzise an kundenspezifische Vorgaben angepasst werden müssen. Der Kunde liefert mir dafür detaillierte technische Zeichnungen; auf deren Basis sollst du ausschließlich die Winkelgrade einzelner Komponenten ändern – Form, Reihenfolge oder Anordnung der Teile bleiben unverändert.

Deine Aufgabe gliedert sich in drei Schritte: 
1. Übernehmen und prüfen der bereitgestellten Zeichnungen sowie der aktuellen SolidWorks-Baugruppen. 
2. Exakte Anpassung aller geforderten Winkelgrade inklusive Aktualisierung der zugehörigen Einzelteil- und Baugruppenzeichnungen. 
3. Export der finalen Daten als produktionsreife STEP-Dateien, optimiert für die CNC-Bearbeitung.

Wichtig ist, dass alle Maße, Toleranzen und Bohrbilder nach der Änderung konsistent bleiben und innerhalb von SolidWorks eindeutig bemaßt sind. Bitte arbeite versionssicher (SolidWorks 2020 oder neuer) und dokumentiere jede Änderung kurz im Modell-History-Baum, damit der Fertiger später jeden Schritt nachvollziehen kann.

Wenn du Erfahrung mit ähnlichen Winkelkorrekturen, CNC-gerechten STEP-Exports und sauberer Zeichnungspflege hast, freue ich mich auf deine Unterstützung.",hourly,12,18.0,EUR,1.15564,40.0,week,"CAD/CAM, Solidworks, 3D Modelling, 3D Design, 3D CAD, 3D Drafting","Engineering & Science, Engineering & Science, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture","5, 5, 3, 3, 3, 3",23.0,15.652173913043478,,de,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
40504835,"Request for SAP CPI / SAP Integration Developer – Dhahran, Saudi Arabia",https://www.freelancer.com/projects/troubleshooting/Request-for-SAP-CPI-SAP,"We are currently executing an Asset Performance Management (APM) project and are seeking an experienced SAP Integration Developer based in Dhahran, Saudi Arabia, to support the development of SAP outbound interfaces.

This is a short-term engagement estimated at approximately 36 man-days. All deliverables will be subject to review and acceptance by our client.
******
- Scope of Work

The selected developer will be responsible for the development, configuration, integration, and testing of SAP interfaces between the Asset Performance Management platform and the Customer SAP environment.

The scope includes:

* Development of SAP objects, including RFCs, BAPIs, IDocs, and custom ABAP developments.
* Configuration and development activities within SAP S/4HANA, SAP PO, and SAP CPI (SAP Integration Suite).
* Development of outbound interfaces from SAP to external applications using SAP CPI.
* Collaboration with the Customer SAP team to ensure compliance with Customer standards, procedures, and governance requirements.
* Participation in integration testing, troubleshooting, and deployment activities.
******
- Working Arrangement

* The developer will be provided with a Customer network ID and Customer-issued laptop.
* Upon onboarding, the developer will work directly within the Customer SAP environment and coordinate closely with the Customer SAP organization.
* The developer will follow all Customer security, development, and change management procedures.
* Integration between SAP PM and the Asset Performance Management platform will be performed subject to Customer stakeholder approvals.
******
- Required Experience

The ideal candidate should possess strong hands-on experience in:

* SAP CPI (SAP Integration Suite)
* ABAP development
* SAP S/4HANA
* SAP PO / PI
* RFC, BAPI, and IDoc development
* REST APIs and SOAP web services
* SAP PM integration
* Enterprise Asset Management integrations

Experience in large-scale industrial, utility, or oil & gas environments is highly desirable.
******
- Response Requested

If you are interested and have suitable resources available, please provide:

* Candidate CV(s)
* Availability and proposed start date from Dhahran
* Rough commercial estimate for the services described above
* Relevant SAP integration project experience

We are looking to mobilize the resource as soon as possible.",fixed,5000,10000.0,EUR,1.15564,,,"Java, Troubleshooting, Software Architecture, Oracle, Local Job, Change Management","Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Jobs for Anyone, Business, Accounting, Human Resources & Legal","1, 1, 1, 1, 99, 7",23.0,6950.652173913043,True,en,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
40504799,E-Commerce Subscription Website Developer – Supabase + React + Mollie,https://www.freelancer.com/projects/github/Commerce-Subscription-Website-Developer,"We are an e-commerce subscription business looking for a skilled, reliable, and long-term developer to join our team.

**Our tech stack:**
- React (frontend)
- Supabase (backend)
- Mollie (payment provider)

**Requirements:**
- Strong experience with React, Supabase, and Mollie
- E-commerce experience, especially with subscription/recurring billing systems
- All code must be saved on GitHub at all times — no exceptions
- Available Monday to Sunday for urgent issues (response within 1-2 hours)
- Good English communication skills
- Comfortable with video calls for onboarding and project discussions
- Must provide references or examples of similar projects

**Immediate task:**
Review our Supabase backend and subscription system — verify that all subscriptions are correctly saved, charged, and secure. Identify any issues and provide a clear report.

**Upcoming project:**
Website rebranding within the next few weeks. We need someone who can build a professional, high-quality e-commerce frontend.

**Important:**
When applying, please respond directly to each point listed above. Generic applications will not receive a reply. Tell us specifically about your experience with Supabase, Mollie, subscription systems, and e-commerce projects.

We are looking for a long-term partner — not a one-time freelancer.",fixed,30,250.0,USD,1.0,,,"PHP, Website Design, Graphic Design, Project Management, HTML, Web Development, Backend Development, Frontend Development, GitHub, Payment Processing","Websites, IT & Software, Design, Media & Architecture, Design, Media & Architecture, Business, Accounting, Human Resources & Legal, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Business, Accounting, Human Resources & Legal","1, 3, 3, 7, 1, 1, 1, 1, 1, 7",239.0,159.13702928870293,,en,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
40504725,Temporary Instagram Outreach Assistant,https://www.freelancer.com/projects/social-media-management/Temporary-Instagram-Outreach-Assistant,"I’m looking for help running a short-term Instagram direct-message campaign to promote our website. For roughly 6–8 weeks, you’ll log in the account each day and send between 50 and 200 pre-approved messages to a curated list of followers.

What you’ll do
• Use the templates I provide—focused on discounts, special offers, and a brief brand story—to start conversations that feel personal, not spammy. 
• Track who’s been contacted so no one receives duplicate messages. 
• Answer straightforward questions (price, shipping, availability) using our FAQ sheet, and forward any complicated inquiries to me via email. 
• Keep a simple daily report of sends, responses, and hot leads.

To succeed, you should be comfortable navigating Instagram’s DM interface, write clear, friendly English, and stay organized so the outreach stays consistent. The workload averages 1–2 hours a day; timing is flexible as long as messages go out within our preferred posting window.

If you’re reliable, communicative, and ready to jump in quickly, let’s talk.",hourly,2,6.0,EUR,1.15564,40.0,week,"Internet Marketing, Facebook Marketing, Marketing, Virtual Assistant, Content Writing, Social Media Marketing, Customer Service, Digital Marketing, Social Media Management, Instagram Marketing","Sales & Marketing, Sales & Marketing, Sales & Marketing, Jobs for Anyone, Writing & Content, Sales & Marketing, Data Entry & Admin, Websites, IT & Software, Websites, IT & Software, Sales & Marketing","6, 6, 6, 99, 2, 6, 4, 1, 1, 6",74.0,4.023648648648648,,en,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
40503215,Poshmark US Shirt Purchase & Forwarding,https://www.freelancer.com/projects/product-sourcing/Poshmark-Shirt-Purchase-Forwarding,"I have found a specific shirt on Poshmark that I absolutely want, but because I live in Germany the platform blocks me from both buying it and arranging shipment, since they only operate in the USA.
I already have the exact product link and the seller still has the item in stock. What I need now is a reliable US-based freelancer who can complete the entire transaction on my behalf and then forward the parcel to Germany via standard shipping with tracking.

Here is what the job entails: 
• Living in the USA, being able to create an account on Poshmark and making purchases there.
• Buy the shirt for me on Poshmark using the link I will provide. 
• Confirm the order and share a screenshot or receipt so I know the purchase went through. 
• Re-package only if necessary, then ship it to my German address using an affordable standard service (doesnt need to be quick) and provide the tracking number. 
• Let me know the total shipping cost before dispatch so I can reimburse you along with the item price and your fee.

Acceptance criteria:
– I receive a clear proof of purchase from Poshmark. A new picture of the shirt would be nice
– A valid tracking number is shared with me

No preference for express shipping—standard is fine as long as it’s trackable. Looking forward to working with someone who has done mail-forwarding or proxy buying before and can make this process smooth and transparent.",fixed,8,30.0,EUR,1.15564,,,"Product Sourcing, Customer Support, Logistics, Order Processing, Inventory Management, Customer Service, Shipping, International Shipping, Payment Processing","Product Sourcing & Manufacturing, Data Entry & Admin, Freight, Shipping & Transportation, Data Entry & Admin, Business, Accounting, Human Resources & Legal, Data Entry & Admin, Freight, Shipping & Transportation, Freight, Shipping & Transportation, Business, Accounting, Human Resources & Legal","8, 4, 100, 4, 7, 4, 100, 100, 7",2.0,19.5,,en,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
40503966,Watch Reels & Photos Germany,https://www.freelancer.com/projects/photography/Watch-Reels-Photos-Germany,"I need ongoing visual content for a German watch brand and am looking for a creator who can handle both sides of the lens. Each month you will deliver four short, vertical reel videos and twelve polished photos that keep the product front and centre. 

The brief is strictly product-focused—macro shots of the dial, crisp wrist-shots, detail cuts that showcase materials and engineering. All assets will live on social media, so please shoot with Instagram and TikTok optimisation in mind: 9:16 aspect ratio, 15–30 s length, eye-catching first seconds, and colour grading that pops on mobile screens. 

There is no fixed location; studio sessions, city streets, or outdoor set-ups are all fine as long as the watch remains the hero and you can manage lighting. Filming, photography, editing and retouching are part of the single workflow. Familiarity with Premiere Pro or Final Cut for reels and Lightroom or Capture One for stills will make the process smoother. 

Deliver at month’s end: 
• 4 fully edited reel videos (vertical 1080 × 1920, licensed music, colour-graded) 
• 12 high-resolution, retouched photos ready for immediate posting 

Because the watches stay in Germany, I prefer someone already based here or able to shoot locally without delays. When you respond, share links to product-centric reels or photo sets you have produced and outline how you would schedule and execute the monthly shoot. Excited to see what you can create for our brand.",fixed,250,750.0,EUR,1.15564,,,"Photography, Photoshop, After Effects, Photo Editing, Video Production, Video Editing, Adobe Lightroom, Adobe Premiere Pro","Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Websites, IT & Software","3, 3, 3, 3, 3, 3, 3, 1",,,True,en,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
40503696,Amazon Listing Image Creation,https://www.freelancer.com/projects/rendering/Amazon-Listing-Image-Creation,"I’m updating my Amazon catalogue and need fresh, high-converting visuals. To start, I want 3 new images for the product linked below. If those meet expectations, I’ll roll the brief out to 24 additional products, each needing 2–3 images (roughly 46–69 shots in total).

https://amzn.eu/d/0hyoJNKS

My priorities 
• Style: Amazon listing pictures that follow the platform’s best practices and persuade shoppers at a glance. 
• Features to highlight: Unique design elements and clear usage benefits. 
• Background: pure white for the main listing shot; supporting images can mix white with subtle lifestyle overlays if it boosts clarity. 
• Optional: you may need to create a clean 3D render of the item if photography alone won’t show key angles.

What I need from you 
1. A quote for the first 3 images. 
2. A separate quote covering the remaining 46–69 images. 
3. Confirmation you have experience producing Amazon-compliant images (size, resolution, margins, text limits, etc.). 
4. A brief outline of your proposed workflow, including whether you’ll shoot, render, or combine both.

I’m looking for a reliable long-term partner, so fair, transparent pricing and consistent quality matter most. If this pilot goes smoothly, you’ll handle all future imagery for my catalogue.",fixed,8,30.0,EUR,1.15564,,,"Graphic Design, Photoshop, 3D Rendering, Photo Editing, Product Design, Photo Retouching, Product Photography, Digital Art","Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Product Sourcing & Manufacturing, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture","3, 3, 3, 3, 8, 3, 3, 3",45.0,23.333333333333332,,en,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
40503221,Travel Agency Client Database,https://www.freelancer.com/projects/web-application/Travel-Agency-Client-Database,"I need a small, cloud-hosted application that lets our Hurghada-based office keep one clean register of every customer, every trip and every transfer we organise. 

Core flow 
• I enter a new lead or walk-in through a simple form that captures the fields we already use on paper: Tour, Date, Hotel, Room, Name, Phone, Adults, Children (5-10 and 0-5), Country, Pick-up time and Collect point. 
• From the same screen I can confirm the booking and instantly push a pre-filled WhatsApp message to the client that repeats those details and adds our “Trips & Transfers Hussein +20 1066463886 / Have a great trip!” footer. The template must support both the longer and the shorter variant I included in the brief. 
• I can later open any record, update it or cancel it; the customer should also be able to edit their own reservation through a secure link we send them. 

Back office 
A single dashboard should show upcoming trips, allow quick search by name, hotel or date, and let me export a daily pick-up list. Because I chose cloud storage, the data must live online so my colleagues can log in from several PCs in the office without worrying about backups. 

What I’m looking for 
• A ready-to-use, browser-based (or lightweight mobile-friendly) app with an admin login for us and a limited self-service view for clients. 
• Built-in WhatsApp integration—either the business API or reliable third-party gateway—triggered by one click from inside the booking screen. 
• Clean UI; English labels are fine, I will add Polish/Arabic copy myself if needed. 
• Deployment to a low-cost cloud (Firebase, Supabase, AWS, Heroku, your suggestion) plus a short hand-over session so I can manage users and change the message template. 

Acceptance 
The job is done when I can: 
1. Add a booking, see it in the dashboard and edit it. 
2. Send myself a WhatsApp confirmation that contains all fields correctly. 
3. Open the client link and modify the booking as the customer. 
4. Export tomorrow’s pick-up list as CSV or PDF. 

If this sounds straightforward to you and you have already connected apps to WhatsApp, let’s talk about timeline and the best stack for a small operation like ours.",fixed,30,250.0,EUR,1.15564,,,"PHP, Mobile App Development, MySQL, HTML, Cloud Development, Database Management, App Development, Web Application","Websites, IT & Software, Mobile Phones & Computing, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Business, Accounting, Human Resources & Legal, Websites, IT & Software, Websites, IT & Software","1, 9, 1, 1, 1, 7, 1, 1",153.0,159.41816993464053,,en,dataset_freelancer-scraper_2026-06-10_18-23-52-667.json
