id,title,language,type,job_names,job_category_names,de_level,en_level,de_reason,en_reason,url
40505114,WebScrapper for a real estate information -- 2,en,fixed,"PHP, Python, Web Scraping, Django, Scrapy, Data Extraction, API, BeautifulSoup, Selenium","Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Data Entry & Admin, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software",0,1,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 默认英语入门 / Default English beginner,https://www.freelancer.com/projects/php/WebScrapper-for-real-estate-information
40505063,German Sales Appointment Setter,en,fixed,"Data Entry, Telemarketing, Sales, CRM, Salesforce.com, German Translator, Customer Service, Sales Promotion, Sales Management, Lead Generation","Data Entry & Admin, Sales & Marketing, Sales & Marketing, Sales & Marketing, Business, Accounting, Human Resources & Legal, Translation & Languages, Data Entry & Admin, Sales & Marketing, Sales & Marketing, Sales & Marketing",2,1,[rule] 命中规则: fluent german / rule hits: fluent german,"[AI辅助] 未发现英语要求，默认入门 / No English requirement found, default beginner",https://www.freelancer.com/projects/sales/German-Sales-Appointment-Setter
40504861,SolidWorks Winkelanpassung mit STEP-Ausgabe,de,hourly,"CAD/CAM, Solidworks, 3D Modelling, 3D Design, 3D CAD, 3D Drafting","Engineering & Science, Engineering & Science, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture",1,1,[AI辅助] 未发现德语要求 / No German requirement found,"[AI辅助] 未提及英语要求，默认入门 / No English requirement stated, default beginner",https://www.freelancer.com/projects/3d-cad/SolidWorks-Winkelanpassung-mit-STEP
40504835,"Request for SAP CPI / SAP Integration Developer – Dhahran, Saudi Arabia",en,fixed,"Java, Troubleshooting, Software Architecture, Oracle, Local Job, Change Management","Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Jobs for Anyone, Business, Accounting, Human Resources & Legal",0,1,[AI辅助] 未发现德语要求 / No German requirement found,"[AI辅助] 无明确英语要求，默认入门 / No explicit English requirement, default beginner",https://www.freelancer.com/projects/troubleshooting/Request-for-SAP-CPI-SAP
40504799,E-Commerce Subscription Website Developer – Supabase + React + Mollie,en,fixed,"PHP, Website Design, Graphic Design, Project Management, HTML, Web Development, Backend Development, Frontend Development, GitHub, Payment Processing","Websites, IT & Software, Design, Media & Architecture, Design, Media & Architecture, Business, Accounting, Human Resources & Legal, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Business, Accounting, Human Resources & Legal",0,2,[AI辅助] 未发现德语要求 / No German requirement found,[rule] 命中规则: good english / rule hits: good english,https://www.freelancer.com/projects/github/Commerce-Subscription-Website-Developer
40504725,Temporary Instagram Outreach Assistant,en,hourly,"Internet Marketing, Facebook Marketing, Marketing, Virtual Assistant, Content Writing, Social Media Marketing, Customer Service, Digital Marketing, Social Media Management, Instagram Marketing","Sales & Marketing, Sales & Marketing, Sales & Marketing, Jobs for Anyone, Writing & Content, Sales & Marketing, Data Entry & Admin, Websites, IT & Software, Websites, IT & Software, Sales & Marketing",0,2,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 需要清晰友善的英语书写 / Requires clear and friendly written English,https://www.freelancer.com/projects/social-media-management/Temporary-Instagram-Outreach-Assistant
40503215,Poshmark US Shirt Purchase & Forwarding,en,fixed,"Product Sourcing, Customer Support, Logistics, Order Processing, Inventory Management, Customer Service, Shipping, International Shipping, Payment Processing","Product Sourcing & Manufacturing, Data Entry & Admin, Freight, Shipping & Transportation, Data Entry & Admin, Business, Accounting, Human Resources & Legal, Data Entry & Admin, Freight, Shipping & Transportation, Freight, Shipping & Transportation, Business, Accounting, Human Resources & Legal",0,2,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 需要英语沟通采购与物流细节 / English required for communicating purchase and logistics details,https://www.freelancer.com/projects/product-sourcing/Poshmark-Shirt-Purchase-Forwarding
40503966,Watch Reels & Photos Germany,en,fixed,"Photography, Photoshop, After Effects, Photo Editing, Video Production, Video Editing, Adobe Lightroom, Adobe Premiere Pro","Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Websites, IT & Software",0,1,[AI辅助] 未发现德语要求 / No German requirement found,"[AI辅助] 岗位发布为英语，未提及更高英语要求，默认入门 / Job posted in English with no higher requirement stated, default beginner",https://www.freelancer.com/projects/photography/Watch-Reels-Photos-Germany
40503696,Amazon Listing Image Creation,en,fixed,"Graphic Design, Photoshop, 3D Rendering, Photo Editing, Product Design, Photo Retouching, Product Photography, Digital Art","Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Product Sourcing & Manufacturing, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture",0,1,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 默认英语入门 / Default English beginner,https://www.freelancer.com/projects/rendering/Amazon-Listing-Image-Creation
40503221,Travel Agency Client Database,en,fixed,"PHP, Mobile App Development, MySQL, HTML, Cloud Development, Database Management, App Development, Web Application","Websites, IT & Software, Mobile Phones & Computing, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Business, Accounting, Human Resources & Legal, Websites, IT & Software, Websites, IT & Software",0,1,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 默认英语入门 / Default English beginner,https://www.freelancer.com/projects/web-application/Travel-Agency-Client-Database
