id,title,type,job_category_names,currency_code,budget_min_eur,budget_max_eur,hourly_min_eur,hourly_avg_eur,hourly_max_eur,fair_pay_score,url
40504861,SolidWorks Winkelanpassung mit STEP-Ausgabe,hourly,"Engineering & Science, Engineering & Science, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture",EUR,12.0,18.0,12.0,15.0,18.0,1,https://www.freelancer.com/projects/3d-cad/SolidWorks-Winkelanpassung-mit-STEP
40504725,Temporary Instagram Outreach Assistant,hourly,"Sales & Marketing, Sales & Marketing, Sales & Marketing, Jobs for Anyone, Writing & Content, Sales & Marketing, Data Entry & Admin, Websites, IT & Software, Websites, IT & Software, Sales & Marketing",EUR,2.0,6.0,2.0,4.0,6.0,0,https://www.freelancer.com/projects/social-media-management/Temporary-Instagram-Outreach-Assistant
40502839,Virtual Assistant Support Needed in Bulgaria,hourly,"Writing & Content, Data Entry & Admin, Writing & Content, Jobs for Anyone, Translation & Languages, Writing & Content, Business, Accounting, Human Resources & Legal",EUR,6.0,12.0,6.0,9.0,12.0,0,https://www.freelancer.com/projects/translation/Virtual-Assistant-Support-Needed
40502670,Professional 3D Website Visuals,hourly,"Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Websites, IT & Software, Design, Media & Architecture, Design, Media & Architecture",EUR,15.000000000000002,60.00000000000001,15.000000000000002,37.50000000000001,60.00000000000001,1,https://www.freelancer.com/projects/blender/Professional-Website-Visuals
40501799,Temporary Finance & Admin Assistant Needed in Germany,hourly,"Business, Accounting, Human Resources & Legal, Jobs for Anyone, Jobs for Anyone, Websites, IT & Software, Websites, IT & Software",EUR,18.0,36.0,18.0,27.0,36.0,1,https://www.freelancer.com/projects/google-sheets/Temporary-Finance-Admin-Assistant-Needed
40500554,AI Interview Practice and Real Time Coaching Web App MVP,hourly,"Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Websites, IT & Software, Artificial Intelligence, Business, Accounting, Human Resources & Legal, Websites, IT & Software, Artificial Intelligence",USD,21.63303450901665,43.2660690180333,21.63303450901665,32.44955176352497,43.2660690180333,1,https://www.freelancer.com/projects/nextjs/Interview-Practice-Real-Time-Coaching
40500518,Personal Biography Ghostwriting,hourly,"Writing & Content, Writing & Content, Writing & Content, Writing & Content, Writing & Content, Writing & Content, Writing & Content, Writing & Content",EUR,2.0,6.0,2.0,4.0,6.0,0,https://www.freelancer.com/projects/biography-writing/Personal-Biography-Ghostwriting-40500518
40500037,Veranstaltungstechniker für Konzert am 14. Juni in Frankfurt,hourly,"Writing & Content, Design, Media & Architecture, Translation & Languages, Translation & Languages, Design, Media & Architecture, Design, Media & Architecture, Design, Media & Architecture, Business, Accounting, Human Resources & Legal",EUR,12.0,18.0,12.0,15.0,18.0,1,https://www.freelancer.com/projects/av-design/Veranstaltungstechniker-Konzert-Juni
40499347,"**Siemens TIA Portal Commissioning Engineer (Freelance) – Satu Mare, Romania**",hourly,"Engineering & Science, Engineering & Science, Product Sourcing & Manufacturing, Engineering & Science, Jobs for Anyone, Writing & Content, Engineering & Science, Engineering & Science, Trades & Services, Websites, IT & Software",EUR,40.0,60.00000000000001,40.0,50.0,60.00000000000001,1,https://www.freelancer.com/projects/electrical-engineering/Siemens-PLC-Commissioning-Automotive
40497437,Sourcing Suppliers for German Market,hourly,"Sales & Marketing, Product Sourcing & Manufacturing, Sales & Marketing, Sales & Marketing, Business, Accounting, Human Resources & Legal, Sales & Marketing, Business, Accounting, Human Resources & Legal, Business, Accounting, Human Resources & Legal",EUR,2.0,6.0,2.0,4.0,6.0,0,https://www.freelancer.com/projects/supplier-sourcing/Sourcing-Suppliers-for-German-Market
