id,title,type,de_level,en_level,de_reason,en_reason,bid_count,budget_min_eur,budget_max_eur,bid_avg_eur,P,C,z_P,z_C,bargain_score,bargain_tier,url
40505114,WebScrapper for a real estate information -- 2,fixed,0,1,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 默认英语入门 / Default English beginner,105.0,30.000000000000004,250.00000000000003,143.03809523809525,0.5138095238095238,4.663439094112067,-0.14535082561165336,0.8112988374545023,-0.4783248315330778,low,https://www.freelancer.com/projects/php/WebScrapper-for-real-estate-information
40505063,German Sales Appointment Setter,fixed,2,1,[rule] 命中规则: fluent german / rule hits: fluent german,"[AI辅助] 未发现英语要求，默认入门 / No English requirement found, default beginner",4.0,1500.0,3000.0,2012.5,0.3416666666666667,1.6094379124341003,-0.36371693777283737,-1.8543940016214493,0.745338531924306,high,https://www.freelancer.com/projects/sales/German-Sales-Appointment-Setter
40504861,SolidWorks Winkelanpassung mit STEP-Ausgabe,hourly,1,1,[AI辅助] 未发现德语要求 / No German requirement found,"[AI辅助] 未提及英语要求，默认入门 / No English requirement stated, default beginner",23.0,12.0,18.0,15.652173913043478,0.6086956521739131,3.1780538303479458,-0.024986174455876538,-0.48522353609266194,0.2301186808183927,mid,https://www.freelancer.com/projects/3d-cad/SolidWorks-Winkelanpassung-mit-STEP
40504835,"Request for SAP CPI / SAP Integration Developer – Dhahran, Saudi Arabia",fixed,0,1,[AI辅助] 未发现德语要求 / No German requirement found,"[AI辅助] 无明确英语要求，默认入门 / No explicit English requirement, default beginner",23.0,5000.0,10000.0,6950.652173913043,0.3901304347826086,3.1780538303479458,-0.30223983207232635,-0.48522353609266194,0.0914918520101678,mid,https://www.freelancer.com/projects/troubleshooting/Request-for-SAP-CPI-SAP
40504799,E-Commerce Subscription Website Developer – Supabase + React + Mollie,fixed,0,2,[AI辅助] 未发现德语要求 / No German requirement found,[rule] 命中规则: good english / rule hits: good english,239.0,25.95964141081998,216.33034509016647,137.70467385059615,0.5869864967668316,5.480638923341991,-0.05252460354453326,1.5245938243527768,-0.788559213948655,low,https://www.freelancer.com/projects/github/Commerce-Subscription-Website-Developer
40504725,Temporary Instagram Outreach Assistant,hourly,0,2,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 需要清晰友善的英语书写 / Requires clear and friendly written English,74.0,2.0,6.0,4.023648648648648,0.5059121621621621,4.31748811353631,-0.15536876180655512,0.5093346282967924,-0.3323516950516738,mid,https://www.freelancer.com/projects/social-media-management/Temporary-Instagram-Outreach-Assistant
40503215,Poshmark US Shirt Purchase & Forwarding,fixed,0,2,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 需要英语沟通采购与物流细节 / English required for communicating purchase and logistics details,2.0,8.0,30.000000000000004,19.5,0.5227272727272726,1.0986122886681098,-0.13403851098693234,-2.3002694699935153,1.0831154795032916,high,https://www.freelancer.com/projects/product-sourcing/Poshmark-Shirt-Purchase-Forwarding
40503696,Amazon Listing Image Creation,fixed,0,1,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 默认英语入门 / Default English beginner,45.0,8.0,30.000000000000004,23.33333333333333,0.6969696969696967,3.828641396489095,0.08699093738444066,0.08264350556363892,0.0021737159104008724,mid,https://www.freelancer.com/projects/rendering/Amazon-Listing-Image-Creation
40503221,Travel Agency Client Database,fixed,0,1,[AI辅助] 未发现德语要求 / No German requirement found,[AI辅助] 默认英语入门 / Default English beginner,153.0,30.000000000000004,250.00000000000003,159.41816993464053,0.5882644087938205,5.0369526024136295,-0.05090355062575891,1.1373210703046406,-0.5941123104651997,low,https://www.freelancer.com/projects/web-application/Travel-Agency-Client-Database
40503121,Personalized Romantic Manga Comic,fixed,0,1,[AI辅助] 未发现德语要求 / No German requirement found,"[AI辅助] 默认英语入门，无更高要求 / Default English beginner, no higher requirement indicated",68.0,30.000000000000004,250.00000000000003,95.29411764705884,0.2967914438502674,4.23410650459726,-0.4206419133508355,0.43655477503644236,-0.42859834419363896,low,https://www.freelancer.com/projects/character-design/Personalized-Romantic-Manga-Comic
